date,temp
2023-03-07 21:25:46,20
2023-03-07 21:25:51,18
2023-03-07 21:25:56,18
2023-03-07 21:26:01,18
2023-03-07 21:26:07,20
2023-03-07 21:26:12,18
2023-03-07 21:26:17,18
2023-03-07 21:26:22,18
2023-03-07 21:26:27,18
2023-03-07 21:26:33,19
2023-03-07 21:26:38,19
2023-03-07 21:26:43,20
2023-03-07 21:26:48,18
2023-03-07 21:26:53,18
2023-03-07 21:26:59,20
2023-03-07 21:27:04,18
2023-03-07 21:27:09,19
2023-03-07 21:27:14,19
2023-03-07 21:27:19,18
2023-03-07 21:27:25,18
2023-03-07 21:27:30,18
2023-03-07 21:27:35,18
2023-03-07 21:27:40,19
